"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.634276150E-1,-5.019999743E-1,1.968999982E0,8.803000450E0,9.034477396E0
8.683848460E-1,-6.200000048E-1,1.957999945E0,8.673999786E0,8.913833972E0
8.734271540E-1,-7.390000224E-1,1.945000052E0,8.510000229E0,8.760664937E0
8.784307690E-1,-8.220000267E-1,1.947000027E0,8.329000473E0,8.592947226E0
8.833935390E-1,-8.479999900E-1,1.965999961E0,8.135999680E0,8.413010794E0
8.884328460E-1,-8.289999962E-1,1.996000051E0,7.962999821E0,8.251098311E0
8.935660000E-1,-7.730000019E-1,2.029000044E0,7.853000164E0,8.147636575E0
8.985653850E-1,-6.700000167E-1,2.078999996E0,7.822000027E0,8.121257626E0
9.035122310E-1,-5.469999909E-1,2.157000065E0,7.848999977E0,8.158349031E0
9.084213850E-1,-4.620000124E-1,2.233000040E0,7.885000229E0,8.208103423E0
9.134543080E-1,-4.300000072E-1,2.275000095E0,7.889999866E0,8.222689544E0
9.184300000E-1,-4.210000038E-1,2.286999941E0,7.852000237E0,8.189109686E0
9.234180000E-1,-4.050000012E-1,2.280999899E0,7.789000034E0,8.126223420E0
9.284707690E-1,-3.829999864E-1,2.262000084E0,7.749000072E0,8.081481021E0
9.334323850E-1,-3.449999988E-1,2.263000011E0,7.769000053E0,8.099231808E0
9.383990770E-1,-3.100000024E-1,2.285000086E0,7.848000050E0,8.179757342E0
9.433735390E-1,-2.980000079E-1,2.293999910E0,7.902999878E0,8.234600577E0
9.484223080E-1,-2.389999926E-1,2.326999903E0,8.081000328E0,8.412765054E0
9.534060770E-1,-2.169999927E-1,2.345999956E0,8.138999939E0,8.473141377E0
9.583873850E-1,-2.010000050E-1,2.404999971E0,8.248999596E0,8.594790294E0
9.635891540E-1,-2.319999933E-1,2.476000071E0,8.369999886E0,8.731626334E0
9.684065390E-1,-3.179999888E-1,2.532999992E0,8.503999710E0,8.878920206E0
9.733972310E-1,-4.129999876E-1,2.548000097E0,8.651000023E0,9.027883189E0
9.785136150E-1,-4.839999974E-1,2.542000055E0,8.795000076E0,9.167772173E0
9.837262310E-1,-5.370000005E-1,2.552000046E0,8.942999840E0,9.315488144E0
9.884396920E-1,-5.839999914E-1,2.584000111E0,9.126999855E0,9.503696066E0
9.934542310E-1,-6.340000033E-1,2.618000031E0,9.312999725E0,9.694732799E0
9.984303850E-1,-6.930000186E-1,2.645999908E0,9.470999718E0,9.858062700E0
1.003427000E0,-7.580000162E-1,2.657000065E0,9.595000267E0,9.984900775E0
1.008445231E0,-8.270000219E-1,2.651999950E0,9.680999756E0,1.007168253E1
